epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6889.26,1.28169,2.94856,1.45111,0.52124,0.40964,0.46094,0.2888,1.29351,3.82067,1.47005,0.000475151,0.000475151,0.000475151
2,16461.1,1.3614,2.13336,1.46383,0.56652,0.53184,0.57321,0.32487,1.48959,2.12746,1.60554,0.000932645,0.000932645,0.000932645
3,18297.2,1.39939,1.92493,1.49871,0.60056,0.51301,0.56929,0.33082,1.46507,1.97224,1.55589,0.00137128,0.00137128,0.00137128
4,20121.7,1.34777,1.73167,1.4458,0.74894,0.64095,0.73849,0.4897,1.21133,1.46049,1.33264,0.00134412,0.00134412,0.00134412
5,21961.4,1.26934,1.58819,1.40308,0.78289,0.73987,0.79654,0.5244,1.2308,1.21382,1.38882,0.00131582,0.00131582,0.00131582
6,23797.3,1.23051,1.42596,1.3703,0.82188,0.73581,0.83732,0.57516,1.11551,1.1749,1.29891,0.00128753,0.00128753,0.00128753
7,25651.1,1.19917,1.35742,1.3531,0.86154,0.77606,0.84836,0.59416,1.10416,1.03815,1.28339,0.00125923,0.00125923,0.00125923
8,27524,1.1812,1.28594,1.33932,0.87328,0.772,0.84986,0.58729,1.12025,1.06801,1.284,0.00123094,0.00123094,0.00123094
9,29411.3,1.12138,1.21157,1.30519,0.8558,0.83027,0.88229,0.63427,1.04306,0.93792,1.24843,0.00120265,0.00120265,0.00120265
10,31298.5,1.10274,1.12352,1.28693,0.835,0.87474,0.90829,0.63434,1.08003,0.93129,1.23841,0.00117435,0.00117435,0.00117435
11,33175,1.07783,1.10586,1.27229,0.91511,0.85563,0.89544,0.66385,1.00968,0.93344,1.19257,0.00114606,0.00114606,0.00114606
12,35053,1.07007,1.07727,1.26749,0.90704,0.88715,0.90257,0.67386,0.98534,0.9221,1.17973,0.00111776,0.00111776,0.00111776
13,36983.9,1.04596,1.02995,1.24461,0.9086,0.86473,0.92333,0.676,0.96802,0.77361,1.17397,0.00108947,0.00108947,0.00108947
14,39006.7,1.01199,0.9741,1.22518,0.90028,0.87797,0.92417,0.68794,0.94999,0.81115,1.16419,0.00106118,0.00106118,0.00106118
15,41027.4,1.02042,0.97925,1.22776,0.89557,0.87701,0.92555,0.6879,0.96711,0.73008,1.17114,0.00103288,0.00103288,0.00103288
16,43044.3,0.98806,0.92555,1.21011,0.87773,0.87521,0.91978,0.68819,0.98661,0.76302,1.16476,0.00100459,0.00100459,0.00100459
17,45091.6,0.99809,0.91585,1.21871,0.94228,0.87846,0.92779,0.71288,0.91724,0.72911,1.13459,0.000976293,0.000976293,0.000976293
18,47141.8,0.95644,0.8854,1.19311,0.9115,0.87039,0.9236,0.69046,0.95854,0.7074,1.15454,0.000947999,0.000947999,0.000947999
19,49215.7,0.96116,0.86897,1.19849,0.89401,0.86856,0.91243,0.69492,0.93016,0.72553,1.13552,0.000919704,0.000919704,0.000919704
20,51304.2,0.93082,0.83907,1.17078,0.9361,0.89844,0.93124,0.72279,0.89989,0.68672,1.11515,0.00089141,0.00089141,0.00089141
21,53378.5,0.93669,0.82206,1.17558,0.92383,0.8847,0.93904,0.71581,0.91435,0.66257,1.12532,0.000863116,0.000863116,0.000863116
22,55458.4,0.92264,0.81618,1.16849,0.93525,0.88378,0.94031,0.71329,0.93308,0.65227,1.13781,0.000834822,0.000834822,0.000834822
23,57533.9,0.9121,0.81226,1.16261,0.91494,0.8976,0.93948,0.73009,0.87794,0.65079,1.11142,0.000806528,0.000806528,0.000806528
24,59625,0.89895,0.77698,1.15711,0.91484,0.8868,0.93151,0.71059,0.91475,0.6653,1.12593,0.000778233,0.000778233,0.000778233
25,61734.3,0.88982,0.75967,1.15066,0.92616,0.91778,0.93767,0.73365,0.89314,0.61268,1.10197,0.000749939,0.000749939,0.000749939
26,63859.7,0.88477,0.74229,1.14438,0.95744,0.90477,0.94404,0.73194,0.88709,0.59323,1.1219,0.000721645,0.000721645,0.000721645
27,65976,0.87794,0.74107,1.13705,0.91574,0.9098,0.93759,0.72765,0.8976,0.62841,1.10971,0.000693351,0.000693351,0.000693351
28,68053.7,0.84347,0.71165,1.12353,0.93723,0.91391,0.94581,0.74099,0.86638,0.57468,1.09588,0.000665057,0.000665057,0.000665057
29,70160.5,0.8425,0.70907,1.12458,0.92591,0.92103,0.9441,0.73476,0.89867,0.60845,1.11034,0.000636762,0.000636762,0.000636762
30,72293.1,0.83519,0.68426,1.11226,0.93671,0.90612,0.94753,0.74105,0.87448,0.58929,1.09664,0.000608468,0.000608468,0.000608468
31,74443.5,0.81954,0.66937,1.10592,0.93454,0.89804,0.93566,0.73183,0.8854,0.61485,1.10445,0.000580174,0.000580174,0.000580174
32,76576.3,0.8179,0.66191,1.1073,0.92732,0.93078,0.94896,0.74416,0.89544,0.57742,1.11556,0.00055188,0.00055188,0.00055188
